Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
36259785,633,13762,True,True,True,True,False,True,False,False,False,1291,1875,551,5838,7142,False,False,False,True,False
36259791,633,13758,True,True,True,True,False,True,False,False,False,1296,1875,551,5838,7142,False,False,False,True,False
36259800,633,12091,True,True,True,True,False,True,False,False,False,1290,1875,551,5859,7120,False,False,False,True,False
36259805,633,12089,False,True,True,True,False,True,False,False,False,1291,1875,551,5865,7092,False,False,False,True,False
36259811,633,12089,False,True,True,True,False,True,False,False,False,1291,1876,551,5882,7113,False,False,False,True,False
36259817,633,12090,False,True,True,True,False,True,False,False,False,1291,1875,549,5823,7124,False,False,False,True,False
36259823,633,12090,False,True,True,True,False,True,False,False,False,1291,1876,549,5858,7117,False,False,False,True,False
36259829,633,12089,False,True,True,True,False,True,False,False,False,1247,1875,549,5885,7152,False,False,False,True,False
36259834,633,12089,False,True,True,True,False,True,False,False,False,1247,1875,551,5883,7071,False,False,False,True,False
36259840,633,12091,False,True,True,True,False,True,False,False,False,1247,1875,551,5875,7099,False,False,False,True,False
36259848,633,12091,False,True,True,True,False,True,False,False,False,1247,1875,551,5836,7144,False,False,False,True,False
36259853,633,12090,False,True,True,True,False,True,False,False,False,0,1876,551,5857,7140,False,False,False,True,False
36259859,633,12091,False,True,True,True,False,True,False,False,False,0,1907,551,5866,7138,False,False,False,True,False
36259865,632,12091,False,True,True,True,False,True,False,False,False,0,1907,479,5878,7093,False,False,False,True,False
36259872,632,12090,False,True,True,True,False,True,False,False,False,0,1907,479,5865,7104,False,False,False,True,False
36259879,633,12089,False,True,True,True,False,True,False,False,False,0,1907,478,5831,7071,False,False,False,True,False
36259885,633,12089,False,True,True,True,False,True,False,False,False,0,1836,478,5831,7071,False,False,False,True,False
36259891,633,12089,False,True,True,True,False,True,False,False,False,0,1836,478,5831,7071,False,False,False,True,False
36259897,632,12091,False,True,True,True,False,True,False,False,False,0,1831,480,5856,7126,False,False,False,True,False
36259902,634,12091,False,True,True,True,False,True,False,False,False,0,1831,480,5860,7126,False,False,False,True,False
36259908,634,12091,False,True,True,True,False,True,False,False,False,0,1832,475,5874,7140,False,False,False,True,False
36259914,633,12091,False,True,True,True,False,True,False,False,False,0,1832,475,5874,7140,False,False,False,True,False
36259920,634,12090,False,True,True,True,False,True,False,False,False,0,1833,477,5868,7137,False,False,False,True,False
36259926,634,12090,False,True,True,True,False,True,False,False,False,0,1833,477,5868,7137,False,False,False,True,False
36259932,633,12090,False,True,True,True,False,True,False,False,False,0,1832,477,5868,7137,False,False,False,True,False
36259938,633,12090,False,True,True,True,False,True,False,False,False,0,1832,477,5826,7059,False,False,False,True,False
36259945,633,12090,False,True,True,True,False,True,False,False,False,0,1832,479,5826,7118,False,False,False,True,False
36259951,633,12090,False,True,True,True,False,True,False,False,False,0,1831,480,5848,7118,False,False,False,True,False
36259957,633,12091,False,True,True,True,False,True,False,False,False,0,1831,480,5844,7122,False,False,False,True,False
36259962,633,12091,False,True,True,True,False,True,False,False,False,0,1831,480,5844,7127,False,False,False,True,False
36259968,633,12091,False,True,True,True,False,True,False,False,False,0,1833,479,5841,7127,False,False,False,True,False
36259974,633,12090,False,True,True,True,False,True,False,False,False,0,1833,479,5856,7171,False,False,False,True,False
36259980,633,12090,False,True,True,True,False,True,False,False,False,0,1833,479,5856,7171,False,False,False,True,False
36259986,633,12089,False,True,True,True,False,True,False,False,False,0,1833,480,5823,7085,False,False,False,True,False
36259991,633,12100,False,True,True,True,False,True,False,False,False,0,1833,480,5823,7085,False,False,False,True,False
36259997,633,12100,False,True,True,True,False,True,False,False,False,0,1831,480,5840,7092,False,False,False,True,False
36260003,633,12101,False,True,True,True,False,True,False,False,False,0,1831,481,5840,7092,False,False,False,True,False
36260009,633,12101,False,True,True,True,False,True,False,False,False,0,1831,481,5836,7126,False,False,False,True,False
36260015,633,12101,False,True,True,True,False,True,False,False,False,0,1831,510,5836,7126,False,False,False,True,False
36260020,633,12099,False,True,True,True,False,True,False,False,False,0,1831,510,5868,7126,False,False,False,True,False
36260026,633,12100,False,True,True,True,False,True,False,False,False,0,1831,510,5868,7169,False,False,False,True,False
36260032,633,12100,False,True,True,True,False,True,False,False,False,0,1831,510,5880,7169,False,False,False,True,False
36260038,633,12101,False,True,True,True,False,True,False,False,False,0,1831,509,5880,7095,False,False,False,True,False
36260045,633,12101,False,True,True,True,False,True,False,False,False,0,1832,511,5823,7095,False,False,False,True,False
36260051,633,12100,False,True,True,True,False,True,False,False,False,0,1832,511,5823,7112,False,False,False,True,False
36260058,633,12100,False,True,True,True,False,True,False,False,False,0,1833,510,5831,7103,False,False,False,True,False
36260064,633,12100,False,True,True,True,False,True,False,False,False,0,1832,510,5869,7103,False,False,False,True,False
36260070,633,12102,False,True,True,True,False,True,False,False,False,0,1832,510,5869,7103,False,False,False,True,False
36260075,633,12102,False,True,True,True,False,True,False,False,False,0,1831,510,5873,7103,False,False,False,True,False
36260082,633,12099,False,True,True,True,False,True,False,False,False,0,1831,510,5873,7117,False,False,False,True,False
36260087,633,12100,False,True,True,True,False,True,False,False,False,0,1832,511,5870,7066,False,False,False,True,False
36260087,634,13693,True,True,True,True,False,True,False,False,False,1247,1768,541,5846,7075,False,False,False,True,False
36260093,632,12100,False,True,True,True,False,True,False,False,False,0,1832,511,5870,7066,False,False,False,True,False
36260093,632,13698,True,True,True,True,False,True,False,False,False,1248,1768,540,5866,7108,False,False,False,True,False
36260099,633,12100,False,True,True,True,False,True,False,False,False,0,1833,509,5812,7100,False,False,False,True,False
36260099,633,12100,True,True,True,True,False,True,False,False,False,1248,1769,541,5848,7148,False,False,False,True,False
36260105,633,12100,False,True,True,True,False,True,False,False,False,1,1833,509,5840,7100,False,False,False,True,False
36260105,633,12100,False,True,True,True,False,True,False,False,False,1249,1768,541,5853,7144,False,False,False,True,False
36260111,633,12100,False,True,True,True,False,True,False,False,False,0,1833,509,5840,7107,False,False,False,True,False
36260111,633,12100,False,True,True,True,False,True,False,False,False,1249,1769,542,5847,7065,False,False,False,True,False
36260117,633,12100,False,True,True,True,False,True,False,False,False,0,1833,509,5855,7107,False,False,False,True,False
36260117,633,12100,False,True,True,True,False,True,False,False,False,1248,1768,540,5883,7094,False,False,False,True,False
36260122,634,12100,False,True,True,True,False,True,False,False,False,0,1833,509,5855,7095,False,False,False,True,False
36260122,634,12100,False,True,True,True,False,True,False,False,False,1248,1768,541,5888,7135,False,False,False,True,False
36260128,633,12101,False,True,True,True,False,True,False,False,False,0,1832,510,5849,7140,False,False,False,True,False
36260128,633,12101,False,True,True,True,False,True,False,False,False,1248,1769,541,5847,7135,False,False,False,True,False
36260134,632,12101,False,True,True,True,False,True,False,False,False,0,1832,510,5875,7140,False,False,False,True,False
36260134,632,12101,False,True,True,True,False,True,False,False,False,1248,1768,540,5851,7136,False,False,False,True,False
36260140,632,12101,False,True,True,True,False,True,False,False,False,0,1832,510,5875,7140,False,False,False,True,False
36260140,632,12101,False,True,True,True,False,True,False,False,False,1248,1767,540,5862,7101,False,False,False,True,False
36260148,633,12102,False,True,True,True,False,True,False,False,False,0,1832,510,5875,7074,False,False,False,True,False
36260148,633,12102,False,True,True,True,False,True,False,False,False,1249,1767,540,5888,7111,False,False,False,True,False
36260154,633,12101,False,True,True,True,False,True,False,False,False,0,1832,510,5826,7135,False,False,False,True,False
36260154,633,12101,False,True,True,True,False,True,False,False,False,1247,1768,540,5883,7105,False,False,False,True,False
36260160,633,12101,False,True,True,True,False,True,False,False,False,0,1993,511,5857,7135,False,False,False,True,False
36260160,633,12101,False,True,True,True,False,True,False,False,False,0,1768,541,5817,7110,False,False,False,True,False
36260166,633,12101,False,True,True,True,False,True,False,False,False,0,2024,512,5857,7131,False,False,False,True,False
36260166,633,12101,False,True,True,True,False,True,False,False,False,0,2024,541,5881,7159,False,False,False,True,False
36260171,633,12100,False,True,True,True,False,True,False,False,False,0,2024,512,5866,7131,False,False,False,True,False
36260171,633,12100,False,True,True,True,False,True,False,False,False,0,2024,512,5881,7091,False,False,False,True,False
36260177,633,12100,False,True,True,True,False,True,False,False,False,0,2025,510,5866,7130,False,False,False,True,False
36260177,633,12100,False,True,True,True,False,True,False,False,False,0,2025,510,5866,7110,False,False,False,True,False
36260183,633,12100,False,True,True,True,False,True,False,False,False,0,2025,510,5851,7130,False,False,False,True,False
36260189,632,12100,False,True,True,True,False,True,False,False,False,0,2025,507,5866,7128,False,False,False,True,False
36260194,632,12100,False,True,True,True,False,True,False,False,False,0,2025,507,5866,7128,False,False,False,True,False
36260200,633,12100,False,True,True,True,False,True,False,False,False,0,2024,508,5850,7075,False,False,False,True,False
36260206,633,12100,False,True,True,True,False,True,False,False,False,0,2024,507,5850,7101,False,False,False,True,False
36260212,633,12100,False,True,True,True,False,True,False,False,False,0,2024,507,5850,7101,False,False,False,True,False
36260218,633,12100,False,True,True,True,False,True,False,False,False,0,2024,507,5855,7101,False,False,False,True,False
36260218,633,13692,True,True,True,True,False,True,False,False,False,1253,1779,528,5838,7132,False,False,False,True,False
36260224,633,12103,False,True,True,True,False,True,False,False,False,0,2024,509,5846,7113,False,False,False,True,False
36260224,633,13694,True,True,True,True,False,True,False,False,False,1253,1779,526,5838,7133,False,False,False,True,False
36260229,633,12103,False,True,True,True,False,True,False,False,False,0,2025,509,5846,7121,False,False,False,True,False
36260229,633,12103,True,True,True,True,False,True,False,False,False,1248,1779,526,5878,7074,False,False,False,True,False
36260235,632,12101,False,True,True,True,False,True,False,False,False,0,2025,509,5846,7121,False,False,False,True,False
36260235,632,12101,False,True,True,True,False,True,False,False,False,1246,1778,528,5878,7107,False,False,False,True,False
36260241,632,12101,False,True,True,True,False,True,False,False,False,0,2024,510,5881,7154,False,False,False,True,False
36260241,632,12101,False,True,True,True,False,True,False,False,False,1249,1779,529,5820,7123,False,False,False,True,False
36260248,632,12101,False,True,True,True,False,True,False,False,False,0,2024,510,5885,7154,False,False,False,True,False
36260248,632,12101,False,True,True,True,False,True,False,False,False,1248,1779,529,5820,7123,False,False,False,True,False
36260255,633,12100,False,True,True,True,False,True,False,False,False,0,2025,511,5885,7108,False,False,False,True,False
36260255,633,12100,False,True,True,True,False,True,False,False,False,1248,1778,525,5878,7123,False,False,False,True,False
36260261,633,12100,False,True,True,True,False,True,False,False,False,0,2025,511,5826,7111,False,False,False,True,False
36260261,633,12100,False,True,True,True,False,True,False,False,False,1248,1779,530,5878,7066,False,False,False,True,False
36260266,633,12101,False,True,True,True,False,True,False,False,False,0,2025,510,5858,7111,False,False,False,True,False
36260266,633,12101,False,True,True,True,False,True,False,False,False,1253,1779,531,5862,7094,False,False,False,True,False
36260272,633,12105,False,True,True,True,False,True,False,False,False,0,2025,509,5858,7107,False,False,False,True,False
36260272,633,12105,False,True,True,True,False,True,False,False,False,1248,1779,530,5862,7112,False,False,False,True,False
36260278,633,12105,False,True,True,True,False,True,False,False,False,0,2024,509,5862,7146,False,False,False,True,False
36260278,633,12105,False,True,True,True,False,True,False,False,False,1248,1778,531,5810,7127,False,False,False,True,False
36260284,633,12101,False,True,True,True,False,True,False,False,False,0,2024,520,5862,7146,False,False,False,True,False
36260284,633,12101,False,True,True,True,False,True,False,False,False,1247,1780,531,5839,7138,False,False,False,True,False
36260290,633,12101,False,True,True,True,False,True,False,False,False,0,2025,521,5869,7152,False,False,False,True,False
36260290,633,12101,False,True,True,True,False,True,False,False,False,1248,1778,532,5852,7063,False,False,False,True,False
36260296,633,12100,False,True,True,True,False,True,False,False,False,0,2025,521,5869,7152,False,False,False,True,False
36260296,633,12100,False,True,True,True,False,True,False,False,False,0,1779,531,5875,7139,False,False,False,True,False
36260301,633,12100,False,True,True,True,False,True,False,False,False,1,2025,520,5895,7084,False,False,False,True,False
36260301,633,12100,False,True,True,True,False,True,False,False,False,1,2025,531,5835,7139,False,False,False,True,False
36260307,633,12100,False,True,True,True,False,True,False,False,False,1,2025,520,5895,7084,False,False,False,True,False
36260307,633,12100,False,True,True,True,False,True,False,False,False,1,2025,520,5856,7143,False,False,False,True,False
36260313,634,12100,True,True,True,True,False,True,False,False,False,0,2025,521,5832,7101,False,False,False,True,False
36260313,634,12100,True,True,True,True,False,True,False,False,False,0,2025,521,5832,7143,False,False,False,True,False
36260319,633,12100,True,True,True,True,False,True,False,False,False,0,2025,521,5862,7101,False,False,False,True,False
36260324,633,12099,True,True,True,True,False,True,False,False,False,0,2025,520,5862,7130,False,False,False,True,False
36260330,633,12099,True,True,True,True,False,True,False,False,False,0,2025,520,5862,7130,False,False,False,True,False
36260336,633,12097,True,True,True,True,False,True,False,False,False,0,2024,520,5871,7118,False,False,False,True,False
36260342,633,12097,True,True,True,True,False,True,False,False,False,0,2025,520,5886,7118,False,False,False,True,False
36260349,633,12100,True,True,True,True,False,True,False,False,False,0,2025,519,5886,7139,False,False,False,True,False
36260356,633,12100,True,True,True,True,False,True,False,False,False,0,2025,520,5876,7109,False,False,False,True,False
36260356,633,13823,True,True,True,True,False,True,False,False,False,1252,1778,541,5869,7131,False,False,False,True,False
36260362,633,12101,True,True,True,True,False,True,False,False,False,0,2025,520,5876,7109,False,False,False,True,False
36260362,633,13820,True,True,True,True,False,True,False,False,False,1248,1779,541,5823,7128,False,False,False,True,False
36260368,633,12102,True,True,True,True,False,True,False,False,False,0,2026,520,5832,7120,False,False,False,True,False
36260368,633,12102,True,True,True,True,False,True,False,False,False,1248,1779,541,5843,7142,False,False,False,True,False
36260373,633,12102,True,True,True,True,False,True,False,False,False,0,2025,520,5879,7120,False,False,False,True,False
36260373,633,12102,True,True,True,True,False,True,False,False,False,1250,1779,535,5858,7080,False,False,False,True,False
36260379,633,12101,True,True,True,True,False,True,False,False,False,0,2025,521,5879,7108,False,False,False,True,False
36260379,633,12101,True,True,True,True,False,True,False,False,False,1247,1780,540,5853,7128,False,False,False,True,False
36260385,633,12101,True,True,True,True,False,True,False,False,False,0,2025,521,5863,7134,False,False,False,True,False
36260385,633,12101,True,True,True,True,False,True,False,False,False,1269,1779,540,5861,7113,False,False,False,True,False
36260391,633,12102,True,True,True,True,False,True,False,False,False,0,2025,521,5863,7134,False,False,False,True,False
36260391,633,12102,True,True,True,True,False,True,False,False,False,1270,1779,540,5807,7112,False,False,False,True,False
36260397,633,12100,True,True,True,True,False,True,False,False,False,0,2025,520,5851,7137,False,False,False,True,False
36260397,633,12100,True,True,True,True,False,True,False,False,False,1270,1779,541,5841,7162,False,False,False,True,False
36260403,633,12100,True,True,True,True,False,True,False,False,False,0,2024,520,5851,7137,False,False,False,True,False
36260403,633,12100,True,True,True,True,False,True,False,False,False,1271,1779,541,5849,7118,False,False,False,True,False
36260409,633,12100,True,True,True,True,False,True,False,False,False,0,2024,518,5870,7076,False,False,False,True,False
36260409,633,12100,True,True,True,True,False,True,False,False,False,1269,1778,540,5839,7118,False,False,False,True,False
36260415,633,12100,True,True,True,True,False,True,False,False,False,0,2024,521,5826,7076,False,False,False,True,False
36260415,633,12100,True,True,True,True,False,True,False,False,False,1269,1779,541,5870,7144,False,False,False,True,False
36260421,633,12101,True,True,True,True,False,True,False,False,False,0,2024,521,5826,7107,False,False,False,True,False
36260421,633,12101,True,True,True,True,False,True,False,False,False,1270,1779,542,5826,7144,False,False,False,True,False
36260427,633,12101,True,True,True,True,False,True,False,False,False,0,2025,519,5859,7107,False,False,False,True,False
36260427,633,12101,True,True,True,True,False,True,False,False,False,0,1778,542,5846,7142,False,False,False,True,False
36260432,633,12100,True,True,True,True,False,True,False,False,False,0,2025,519,5859,7108,False,False,False,True,False
36260432,633,12100,True,True,True,True,False,True,False,False,False,0,2025,541,5838,7141,False,False,False,True,False
36260438,632,12100,True,True,True,True,False,True,False,False,False,0,2025,520,5855,7107,False,False,False,True,False
36260438,632,12100,True,True,True,True,False,True,False,False,False,0,2025,520,5838,7136,False,False,False,True,False
36260446,633,12100,True,True,True,True,False,True,False,False,False,0,2024,517,5855,7107,False,False,False,True,False
36260446,633,12100,True,True,True,True,False,True,False,False,False,0,2024,517,5855,7122,False,False,False,True,False
36260452,633,12101,True,True,True,True,False,True,False,False,False,0,2024,517,5866,7133,False,False,False,True,False
36260452,633,12101,True,True,True,True,False,True,False,False,False,0,2024,517,5866,7116,False,False,False,True,False
36260458,633,12101,True,True,True,True,False,True,False,False,False,0,2025,516,5874,7069,False,False,False,True,False
36260464,633,12099,True,True,True,True,False,True,False,False,False,0,2025,516,5874,7069,False,False,False,True,False
36260470,633,12099,True,True,True,True,False,True,False,False,False,0,2024,520,5874,7101,False,False,False,True,False
36260476,633,12100,True,True,True,True,False,True,False,False,False,0,2024,520,5817,7101,False,False,False,True,False
36260481,634,12100,True,True,True,True,False,True,False,False,False,0,2026,521,5817,7101,False,False,False,True,False
36260487,634,12102,True,True,True,True,False,True,False,False,False,0,2025,521,5847,7128,False,False,False,True,False
36260487,633,13942,True,True,True,True,False,True,False,False,False,1271,1768,540,5870,7064,False,False,False,True,False
36260493,633,12100,True,True,True,True,False,True,False,False,False,0,2025,515,5866,7132,False,False,False,True,False
36260493,633,13938,True,True,True,True,False,True,False,False,False,1269,1769,539,5863,7091,False,False,False,True,False
36260499,633,12100,True,True,True,True,False,True,False,False,False,0,2025,515,5866,7132,False,False,False,True,False
36260499,633,12100,True,True,True,True,False,True,False,False,False,1270,1769,539,5863,7104,False,False,False,True,False
36260504,633,12099,True,True,True,True,False,True,False,False,False,11,2025,515,5867,7126,False,False,False,True,False
36260504,633,12099,True,True,True,True,False,True,False,False,False,1270,1768,521,5827,7118,False,False,False,True,False
36260510,633,12101,True,True,True,True,False,True,False,False,False,11,2025,516,5886,7072,False,False,False,True,False
36260510,633,12101,True,True,True,True,False,True,False,False,False,1267,1767,515,5827,7146,False,False,False,True,False
36260516,633,12101,True,True,True,True,False,True,False,False,False,11,2025,516,5886,7072,False,False,False,True,False
36260516,633,12101,True,True,True,True,False,True,False,False,False,1269,1768,520,5854,7081,False,False,False,True,False
36260522,633,12100,True,True,True,True,False,True,False,False,False,3846,2025,520,5886,7109,False,False,False,True,False
36260522,633,12100,True,True,True,True,False,True,False,False,False,1269,1768,520,5853,7094,False,False,False,True,False
36260528,633,12100,True,True,True,True,False,True,False,False,False,3856,2025,520,5823,7109,False,False,False,True,False
36260528,633,12100,True,True,True,True,False,True,False,False,False,1270,1768,519,5843,7098,False,False,False,True,False
36260533,633,12102,True,True,True,True,False,True,False,False,False,3856,2025,520,5823,7149,False,False,False,True,False
36260533,633,12102,True,True,True,True,False,True,False,False,False,1294,1768,520,5839,7145,False,False,False,True,False
36260539,633,12102,True,True,True,True,False,True,False,False,False,3862,2025,520,5855,7149,False,False,False,True,False
36260539,633,12102,True,True,True,True,False,True,False,False,False,1290,1769,520,5849,7151,False,False,False,True,False
36260547,633,15196,True,True,True,True,False,True,False,False,False,3862,2025,520,5855,7149,False,False,False,True,False
36260547,633,15196,True,True,True,True,False,True,False,False,False,1291,1768,520,5838,7090,False,False,False,True,False
36260553,633,15196,True,True,True,True,False,True,False,False,False,3857,2025,521,5859,7143,False,False,False,True,False
36260553,633,15196,True,True,True,True,False,True,False,False,False,1293,1768,518,5866,7092,False,False,False,True,False
36260559,633,15229,True,True,True,True,False,True,False,False,False,3860,2024,521,5851,7138,False,False,False,True,False
36260559,633,15229,True,True,True,True,False,True,False,False,False,3860,1768,519,5877,7098,False,False,False,True,False
36260565,633,15232,True,True,True,True,False,True,False,False,False,3860,2024,519,5865,7063,False,False,False,True,False
36260565,633,15232,True,True,True,True,False,True,False,False,False,3860,2024,519,5839,7121,False,False,False,True,False
36260570,633,15232,True,True,True,True,False,True,False,False,False,3859,2024,519,5865,7063,False,False,False,True,False
36260570,633,15232,True,True,True,True,False,True,False,False,False,3859,2024,519,5845,7098,False,False,False,True,False
36260576,633,15235,True,True,True,True,False,True,False,False,False,3859,2024,521,5865,7063,False,False,False,True,False
36260576,633,15235,True,True,True,True,False,True,False,False,False,3859,2024,521,5844,7119,False,False,False,True,False
36260582,633,15235,True,True,True,True,False,True,False,False,False,3859,1939,521,5832,7082,False,False,False,True,False
36260588,633,15233,True,True,True,True,False,True,False,False,False,3859,1939,520,5855,7098,False,False,False,True,False
36260593,633,15233,True,True,True,True,False,True,False,False,False,3859,1940,517,5855,7098,False,False,False,True,False
36260599,633,15232,True,True,True,True,False,True,False,False,False,3859,1940,517,5869,7130,False,False,False,True,False
36260605,633,15233,True,True,True,True,False,True,False,False,False,3855,1939,520,5869,7130,False,False,False,True,False
36260611,633,15233,True,True,True,True,False,True,False,False,False,3864,1939,520,5858,7140,False,False,False,True,False
36260617,633,15228,True,True,True,True,False,True,False,False,False,3864,1939,519,5858,7140,False,False,False,True,False
36260617,633,13937,True,True,True,True,False,True,False,False,False,1289,1767,522,5857,7125,False,False,False,True,False
36260623,633,15228,True,True,True,True,False,True,False,False,False,3859,1940,519,5878,7078,False,False,False,True,False
36260623,633,13939,True,True,True,True,False,True,False,False,False,1291,1768,521,5847,7124,False,False,False,True,False
36260629,633,15232,True,True,True,True,False,True,False,False,False,3859,1940,519,5878,7115,False,False,False,True,False
36260629,633,15232,True,True,True,True,False,True,False,False,False,1290,1767,517,5847,7067,False,False,False,True,False
36260635,632,15232,True,True,True,True,False,True,False,False,False,3857,1939,515,5830,7115,False,False,False,True,False
36260635,632,15232,True,True,True,True,False,True,False,False,False,1293,1769,519,5860,7135,False,False,False,True,False
36260641,633,15232,True,True,True,True,False,True,False,False,False,3861,1939,515,5842,7114,False,False,False,True,False
36260641,633,15232,True,True,True,True,False,True,False,False,False,1290,1768,509,5848,7133,False,False,False,True,False
36260648,633,15233,True,True,True,True,False,True,False,False,False,3861,1938,519,5842,7114,False,False,False,True,False
36260648,633,15233,True,True,True,True,False,True,False,False,False,1291,1769,500,5851,7154,False,False,False,True,False
36260655,633,15233,True,True,True,True,False,True,False,False,False,3859,1938,519,5839,7145,False,False,False,True,False
36260655,633,15233,True,True,True,True,False,True,False,False,False,1291,1768,500,5840,7141,False,False,False,True,False
36260661,633,15231,True,True,True,True,False,True,False,False,False,3859,1938,520,5839,7153,False,False,False,True,False
36260661,633,15231,True,True,True,True,False,True,False,False,False,1291,1769,499,5836,7123,False,False,False,True,False
36260666,633,15233,True,True,True,True,False,True,False,False,False,3859,1939,520,5857,7153,False,False,False,True,False
36260666,633,15233,True,True,True,True,False,True,False,False,False,1290,1769,498,5835,7132,False,False,False,True,False
36260672,633,15233,True,True,True,True,False,True,False,False,False,3857,1940,520,5868,7104,False,False,False,True,False
36260672,633,15233,True,True,True,True,False,True,False,False,False,1290,1768,498,5835,7132,False,False,False,True,False
36260678,633,15233,True,True,True,True,False,True,False,False,False,3857,1940,520,5868,7104,False,False,False,True,False
36260678,633,15233,True,True,True,True,False,True,False,False,False,1291,1768,500,5853,7132,False,False,False,True,False
36260684,633,15232,True,True,True,True,False,True,False,False,False,3860,1939,520,5813,7152,False,False,False,True,False
36260684,633,15232,True,True,True,True,False,True,False,False,False,1291,1746,500,5835,7131,False,False,False,True,False
36260690,633,15233,True,True,True,True,False,True,False,False,False,3860,1939,520,5813,7152,False,False,False,True,False
36260690,633,15233,True,True,True,True,False,True,False,False,False,1289,1747,500,5840,7062,False,False,False,True,False
36260696,633,15233,True,True,True,True,False,True,False,False,False,3859,1939,520,5813,7132,False,False,False,True,False
36260696,633,15233,True,True,True,True,False,True,False,False,False,1291,1748,497,5837,7084,False,False,False,True,False
36260701,633,15238,True,True,True,True,False,True,False,False,False,3859,1940,521,5827,7132,False,False,False,True,False
36260701,633,15238,True,True,True,True,False,True,False,False,False,3859,1746,493,5848,7097,False,False,False,True,False
36260707,633,15238,True,True,True,True,False,True,False,False,False,3860,1940,521,5845,7116,False,False,False,True,False
36260707,633,15238,True,True,True,True,False,True,False,False,False,3860,1940,521,5863,7114,False,False,False,True,False
36260713,633,15234,True,True,True,True,False,True,False,False,False,3860,1940,519,5845,7158,False,False,False,True,False
36260713,633,15234,True,True,True,True,False,True,False,False,False,3860,1940,519,5845,7162,False,False,False,True,False
36260719,632,15234,True,True,True,True,False,True,False,False,False,3858,1939,520,5871,7158,False,False,False,True,False
36260724,633,15234,True,True,True,True,False,True,False,False,False,3858,1939,520,5871,7158,False,False,False,True,False
36260730,633,15234,True,True,True,True,False,True,False,False,False,3860,1939,520,5866,7088,False,False,False,True,False
36260736,633,15233,True,True,True,True,False,True,False,False,False,3857,1939,520,5866,7109,False,False,False,True,False
36260742,633,15233,True,True,True,True,False,True,False,False,False,3857,1940,520,5866,7109,False,False,False,True,False
36260749,633,15233,True,True,True,True,False,True,False,False,False,3859,1939,520,5869,7119,False,False,False,True,False
36260755,633,15232,True,True,True,True,False,True,False,False,False,3859,1939,521,5869,7143,False,False,False,True,False
36260761,633,15232,True,True,True,True,False,True,False,False,False,3860,1938,521,5868,7143,False,False,False,True,False
36260761,633,13940,True,True,True,True,False,True,False,False,False,1294,1746,500,5852,7139,False,False,False,True,False
36260766,633,15232,True,True,True,True,False,True,False,False,False,3856,1938,521,5868,7135,False,False,False,True,False
