Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
0,599,12974,True,False,True,False,False,True,True,False,False,1258,2004,1,5575,7107,True,False,False,True,False
6,601,12976,True,False,True,False,False,True,True,False,False,1259,2002,1,5595,7115,True,False,False,True,False
12,616,13137,True,False,True,False,False,True,True,False,False,1259,2003,1,5597,7119,True,False,False,True,False
18,616,13137,True,False,True,False,False,True,True,False,False,1261,2003,0,5617,7040,True,False,False,True,False
24,616,13135,True,False,True,False,False,True,True,False,False,1257,2003,1,5587,7106,True,False,False,True,False
30,616,13136,True,False,True,False,False,True,True,False,False,1259,2004,1,5595,7110,True,False,False,True,False
36,616,13136,True,False,True,False,False,True,True,False,False,1280,2002,1,5589,7118,True,False,False,True,False
41,616,13135,True,False,True,False,False,True,True,False,False,1280,2003,1,5593,7123,True,False,False,True,False
48,616,13135,True,False,True,False,False,True,True,False,False,1283,2003,1,5609,7041,True,False,False,True,False
55,616,13136,True,False,True,False,False,True,True,False,False,1281,2003,1,5569,7071,True,False,False,True,False
62,616,13136,True,False,True,False,False,True,True,False,False,1281,2003,1,5569,7071,True,False,False,True,False
68,616,13134,True,False,True,False,False,True,True,False,False,1280,2003,1,5587,7090,True,False,False,True,False
75,616,13132,True,False,True,False,False,True,True,False,False,1280,2004,1,5609,7131,True,False,False,True,False
80,616,13132,True,False,True,False,False,True,True,False,False,1280,2011,0,5599,7137,True,False,False,True,False
86,616,13134,True,False,True,False,False,True,True,False,False,1271,2034,0,5609,7055,True,False,False,True,False
92,616,13134,True,False,True,False,False,True,True,False,False,1271,2035,1,5607,7107,True,False,False,True,False
98,616,13134,True,False,True,False,False,True,True,False,False,1273,2154,1,5607,7105,True,False,False,True,False
104,616,13136,True,False,True,False,False,True,True,False,False,1273,2153,1,5605,7135,True,False,False,True,False
110,617,13136,True,False,True,False,False,True,True,False,False,1270,2153,0,5605,7135,True,False,False,True,False
116,616,13135,True,False,True,False,False,True,True,False,False,1268,2153,1,5580,7181,True,False,False,True,False
122,617,13135,True,False,True,False,False,True,True,False,False,1268,2154,1,5580,7092,True,False,False,True,False
128,617,13135,True,False,True,False,False,True,True,False,False,1270,2154,1,5585,7099,True,False,False,True,False
133,616,13135,True,False,True,False,False,True,True,False,False,1270,2153,0,5586,7099,True,False,False,True,False
139,616,13135,True,False,True,False,False,True,True,False,False,1268,2153,0,5586,7043,True,False,False,True,False
145,616,13135,True,False,True,False,False,True,True,False,False,1268,2153,1,5596,7043,True,False,False,True,False
151,616,13135,True,False,True,False,False,True,True,False,False,1268,2153,1,5596,7043,True,False,False,True,False
157,616,13135,True,False,True,False,False,True,True,False,False,1269,2154,0,5556,7085,True,True,False,True,False
164,616,13135,True,False,True,False,False,True,True,False,False,1268,2153,0,5556,7100,True,True,False,True,False
169,616,13129,True,False,True,False,False,True,True,False,False,1268,2153,1,5589,7100,True,True,True,True,False
175,616,13135,True,False,True,False,False,True,True,False,False,1253,2154,1,5594,7096,True,True,True,False,False
181,616,13135,True,False,True,False,False,True,True,False,False,1253,2154,1,5594,7131,True,True,True,False,True
187,616,13135,True,False,True,False,False,True,True,False,False,1247,2154,0,5591,7131,True,True,True,False,True
193,616,13136,True,False,True,False,False,True,True,False,False,1248,2153,0,5591,7057,True,True,True,False,True
199,616,13135,True,False,True,False,False,True,True,False,False,1248,2153,1,5622,7057,True,True,True,False,True
204,616,13135,True,False,True,False,False,True,True,False,False,1251,2153,1,5622,7128,True,True,True,False,True
210,616,13135,True,False,True,False,False,True,True,False,False,1251,2153,1,5567,7128,True,True,True,False,True
216,616,13135,True,False,True,False,False,True,True,False,False,1247,2154,1,5567,7159,True,True,True,False,True
222,616,13136,True,False,True,False,False,True,True,False,False,1248,2154,1,5593,7132,True,True,True,False,True
228,616,13136,True,False,True,False,False,True,True,False,False,1248,2154,1,5593,7132,True,True,True,False,True
234,616,13135,True,False,True,False,False,True,True,False,False,1247,2154,1,5604,7122,True,True,True,False,True
240,616,13136,True,False,True,False,False,True,True,False,False,1247,2153,0,5602,7122,True,True,True,False,True
246,616,13136,True,False,True,False,False,True,True,False,False,1248,2153,0,5602,7049,True,True,True,False,True
251,616,13139,True,False,True,False,False,True,True,False,False,1248,2153,2,5612,7049,True,True,True,False,True
257,616,13139,True,False,True,False,False,True,True,False,False,1248,2153,2,5612,7087,True,True,True,False,True
265,616,13136,True,False,True,False,False,True,True,False,False,1247,2153,1,5554,7087,True,True,True,False,True
270,616,13136,True,False,True,False,False,True,True,False,False,1247,2154,1,5577,7109,True,True,True,False,True
276,616,13135,True,False,True,False,False,True,True,False,False,1248,2154,1,5577,7109,True,True,True,False,True
282,616,13135,True,False,True,False,False,True,True,False,False,1248,2153,2,5594,7123,True,True,True,False,True
288,616,13135,True,False,True,False,False,True,True,False,False,1247,2155,1,5594,7115,True,True,True,False,True
293,616,13136,True,False,True,False,False,True,True,False,False,1249,2155,1,5601,7115,True,True,True,False,True
299,616,13136,True,False,True,False,False,True,True,False,False,1249,2153,1,5601,7043,True,True,True,False,True
305,616,13134,True,False,True,False,False,True,True,False,False,1249,2153,1,5636,7043,True,True,True,False,True
311,616,13134,True,False,True,False,False,True,True,False,False,1248,2153,0,5636,7079,True,True,True,False,True
317,616,13135,True,False,True,False,False,True,True,False,False,1248,2153,0,5577,7079,True,True,True,False,True
323,616,13135,True,False,True,False,False,True,True,False,False,1248,2154,1,5584,7097,True,True,True,False,True
329,616,13135,True,False,True,False,False,True,True,False,False,1248,2154,1,5584,7106,True,True,True,False,True
335,616,13023,True,False,True,False,False,True,True,False,False,1248,2154,2,5606,7106,True,True,True,False,True
341,616,13023,True,False,True,False,False,True,True,False,False,1248,2154,1,5606,7139,True,True,True,False,True
347,616,13018,True,False,True,False,False,True,True,False,False,1248,2154,1,5606,7139,True,True,True,False,True
353,616,13018,True,False,True,False,False,True,True,False,False,1248,2153,1,5606,7056,True,True,True,False,True
359,616,13019,True,False,True,False,False,True,True,False,False,1246,2153,1,5617,7056,True,True,True,False,True
366,616,13019,True,False,True,False,False,True,True,False,False,1246,2153,1,5617,7085,True,True,True,False,True
372,616,13018,True,False,True,False,False,True,True,False,False,1248,2153,1,5575,7100,True,True,True,False,True
378,616,13017,True,False,True,False,False,True,True,False,False,1248,2153,1,5615,7100,True,True,True,False,True
384,616,13017,True,False,True,False,False,True,True,False,False,1247,2152,1,5615,7142,True,True,True,False,True
390,616,13013,True,False,True,False,False,True,True,False,False,1248,2152,1,5625,7142,True,True,True,False,True
396,616,13018,True,False,True,False,False,True,True,False,False,1248,2153,1,5625,7172,True,True,True,False,True
401,616,13018,True,False,True,False,False,True,True,False,False,1248,2153,1,5610,7172,True,True,True,False,True
407,616,13018,True,False,True,False,False,True,True,False,False,1248,2153,0,5616,7071,True,True,True,False,True
414,616,13018,True,False,True,False,False,True,True,False,False,1248,2153,1,5616,7091,True,True,True,False,True
419,616,13017,True,False,True,False,False,True,True,False,False,1248,2153,1,5574,7091,True,True,True,False,True
419,599,12942,True,False,True,False,False,True,True,False,False,1281,1961,1,5581,7107,True,False,False,True,False
425,616,13017,True,False,True,False,False,True,True,False,False,1248,2154,1,5574,7105,True,True,True,False,True
