Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
36673278,626,12996,True,False,True,True,False,True,False,False,False,1302,1757,1,5875,7165,False,False,False,True,False
36673284,598,12998,True,False,True,True,False,True,False,False,False,1306,1758,1,5857,7218,False,False,False,True,False
36673290,598,13018,True,False,True,True,False,True,False,False,False,1301,1757,1,5907,7182,False,False,False,True,False
36673296,599,13018,True,False,True,True,False,True,False,False,False,1301,1756,1,5915,7187,False,False,False,True,False
36673301,598,13018,True,False,True,True,False,True,False,False,False,1301,1757,1,5919,7209,False,False,False,True,False
36673307,598,13018,True,False,True,True,False,True,False,False,False,1302,1757,1,5866,7189,False,False,False,True,False
36673313,598,13018,True,False,True,False,False,True,False,False,False,1301,1757,1,5866,7201,False,False,False,True,False
36673319,598,13017,True,False,True,False,False,True,False,False,False,1300,1757,1,5870,7198,False,False,False,True,False
36673325,599,13017,True,False,True,False,False,True,False,False,False,1302,1757,1,5908,7198,False,False,False,True,False
36673330,598,13019,True,False,True,False,False,True,False,False,False,1300,1756,1,5908,7210,False,False,False,True,False
36673336,598,13019,True,False,True,False,False,True,False,False,False,1301,1758,1,5851,7210,False,False,False,True,False
36673343,598,13019,True,False,True,False,False,True,False,False,False,1302,1757,1,5877,7215,False,False,False,True,False
36673350,598,13019,True,False,True,False,False,True,False,False,False,1216,1886,0,5890,7146,False,False,False,True,False
36673356,598,13019,True,False,True,False,False,True,False,False,False,1219,1885,1,5884,7206,False,False,False,True,False
36673361,598,13019,True,False,True,False,False,True,False,False,False,1219,1885,2,5882,7206,False,False,False,True,False
36673367,598,13019,True,False,True,False,False,True,False,False,False,1218,1886,1,5840,7207,False,False,False,True,False
36673373,598,13015,True,False,True,False,False,True,False,False,False,1216,1886,1,5840,7226,False,False,False,True,False
36673379,598,13017,True,False,True,False,False,True,False,False,False,1216,1885,1,5869,7239,True,False,False,True,False
36673384,598,13017,True,False,True,False,False,True,False,False,False,1215,1885,1,5869,7239,True,False,False,True,False
36673390,598,13019,True,False,True,False,False,True,False,False,False,1215,1885,1,5879,7218,True,False,False,True,False
