Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
0,635,13075,True,False,True,True,False,True,True,False,False,1419,1973,1,5363,6759,False,False,False,True,False
6,635,13078,True,False,True,True,False,True,True,False,False,1419,1994,0,5363,6759,False,False,False,True,False
11,635,13046,True,False,True,True,False,True,True,False,False,1420,1995,0,5390,6701,False,False,False,True,False
18,635,13045,True,False,True,True,False,True,True,False,False,1420,1995,1,5336,6707,False,False,False,True,False
23,635,13045,True,False,True,True,False,True,True,False,False,1421,1994,1,5355,6753,False,False,False,True,False
29,635,13091,True,False,True,True,False,True,True,False,False,1420,1993,1,5353,6764,False,False,False,True,False
35,635,13091,True,False,True,True,False,True,True,False,False,1424,1994,1,5365,6713,False,False,False,True,False
41,635,13099,True,False,True,True,False,True,True,False,False,1419,1995,1,5328,6755,False,False,False,True,False
47,635,13099,True,False,True,True,False,True,True,False,False,1419,1995,1,5328,6755,False,False,False,True,False
53,635,13099,True,False,True,True,False,True,True,False,False,1421,1995,1,5328,6755,False,False,False,True,False
59,635,13099,True,False,True,True,False,True,True,False,False,1421,1995,1,5344,6740,False,False,False,True,False
65,635,13100,True,False,True,True,False,True,True,False,False,1421,1995,1,5344,6741,False,False,False,True,False
71,635,13098,True,False,True,True,False,True,True,False,False,1420,1994,1,5342,6754,False,False,False,True,False
78,635,13098,True,False,True,True,False,True,True,False,False,1419,1994,0,5353,6692,False,False,False,True,False
84,635,13099,True,False,True,True,False,True,True,False,False,1421,1994,1,5312,6705,False,False,False,True,False
89,635,13099,True,False,True,True,False,True,True,False,False,1422,1994,1,5312,6736,False,False,False,True,False
95,635,13100,True,False,True,True,False,True,True,False,False,1422,1994,0,5342,6736,False,False,False,True,False
101,635,13098,True,False,True,True,False,True,True,False,False,1419,1994,0,5342,6736,False,False,False,True,False
107,635,13098,True,False,True,True,False,True,True,False,False,1419,1994,0,5352,6732,False,False,False,True,False
113,635,13099,True,False,True,True,False,True,True,False,False,1421,1994,0,5352,6747,False,False,False,True,False
119,635,13099,True,False,True,True,False,True,True,False,False,1421,1992,0,5367,6693,False,False,False,True,False
125,635,13098,True,False,True,True,False,True,True,False,False,1420,1994,0,5368,6693,False,False,False,True,False
131,635,13098,True,False,True,True,False,True,True,False,False,1421,1994,1,5318,6711,False,False,False,True,False
137,635,13098,True,False,True,True,False,True,True,False,False,1420,1995,1,5333,6712,False,False,False,True,False
143,635,13099,True,False,True,True,False,True,True,False,False,1367,1995,1,5344,6709,False,False,False,True,False
149,635,13099,True,False,True,True,False,True,True,False,False,1367,1963,1,5357,6761,False,False,False,True,False
155,635,13099,True,False,True,True,False,True,True,False,False,1364,1963,0,5379,6698,False,False,False,True,False
161,635,13099,True,False,True,True,False,True,True,False,False,1364,1962,1,5346,6750,False,False,False,True,False
166,635,13099,True,False,True,True,False,True,True,False,False,1367,1962,1,5346,6744,False,False,False,True,False
172,635,13099,True,False,True,True,False,True,True,False,False,1367,1961,1,5366,6682,False,False,False,True,False
179,635,13098,True,False,True,True,False,True,True,False,False,1366,1962,1,5366,6682,False,False,False,True,False
186,635,13098,True,False,True,True,False,True,True,False,False,1366,1962,1,5364,6721,False,False,False,True,False
191,636,13101,True,False,True,True,False,True,True,False,False,1366,1963,1,5364,6721,False,False,False,True,False
197,634,13099,True,False,True,True,False,True,True,False,False,1366,1963,1,5319,6724,False,False,False,True,False
203,635,13099,True,False,True,True,False,True,True,False,False,1388,1962,1,5347,6731,False,False,False,True,False
209,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,1,5347,6731,False,False,False,True,False
214,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,1,5353,6751,False,False,False,True,False
221,635,13098,True,False,True,True,False,True,True,False,False,1389,1962,1,5353,6751,False,False,False,True,False
227,635,13099,True,False,True,True,False,True,True,False,False,1389,1962,1,5352,6686,False,False,False,True,False
233,635,13099,True,False,True,True,False,True,True,False,False,1388,1962,1,5382,6686,False,False,False,True,False
241,635,13099,True,False,True,True,False,True,True,False,False,1388,1962,1,5382,6701,False,False,False,True,False
248,635,13099,True,False,True,True,False,True,True,False,False,1391,1962,1,5327,6727,False,False,False,True,False
253,635,13099,True,False,True,True,False,True,True,False,False,1389,1962,1,5327,6727,False,False,False,True,False
259,635,13102,True,False,True,True,False,True,True,False,False,1389,1962,1,5338,6733,False,False,False,True,False
265,635,13102,True,False,True,True,False,True,True,False,False,1389,1962,1,5344,6733,False,False,False,True,False
271,635,13099,True,False,True,True,False,True,True,False,False,1389,1962,2,5344,6750,False,False,False,True,False
278,635,13099,True,False,True,True,False,True,True,False,False,1389,1962,1,5369,6694,False,False,False,True,False
284,635,13098,True,False,True,True,False,True,True,False,False,1389,1962,1,5397,6694,False,False,False,True,False
289,635,13098,True,False,True,True,False,True,True,False,False,1389,1962,1,5397,6704,False,False,False,True,False
295,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,1,5350,6704,False,False,False,True,False
301,635,13098,True,False,True,True,False,True,True,False,False,1389,1962,1,5350,6704,False,False,False,True,False
307,635,13098,True,False,True,True,False,True,True,False,False,1389,1963,1,5358,6710,False,False,False,True,False
313,635,13099,True,False,True,True,False,True,True,False,False,1389,1963,1,5358,6710,False,False,False,True,False
319,635,13098,True,False,True,True,False,True,True,False,False,1386,1962,1,5349,6748,False,False,False,True,False
325,635,13098,True,False,True,True,False,True,True,False,False,1390,1962,1,5349,6748,False,False,False,True,False
331,635,13099,True,False,True,True,False,True,True,False,False,1390,1961,1,5345,6720,False,False,False,True,False
337,635,13099,True,False,True,True,False,True,True,False,False,1391,1962,0,5345,6720,False,False,False,True,False
343,635,13098,True,False,True,True,False,True,True,False,False,1391,1962,0,5355,6771,False,False,False,True,False
349,635,13098,True,False,True,True,False,True,True,False,False,1390,1962,0,5318,6771,False,False,False,True,False
354,635,13100,True,False,True,True,False,True,True,False,False,1390,1962,0,5318,6768,False,False,False,True,False
360,635,13100,True,False,True,True,False,True,True,False,False,1389,1962,0,5365,6768,False,False,False,True,False
366,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,0,5365,6750,False,False,False,True,False
372,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,1,5363,6750,False,False,False,True,False
379,636,13099,True,False,True,True,False,True,True,False,False,1389,1962,1,5363,6746,False,False,False,True,False
385,635,13099,True,False,True,True,False,True,True,False,False,1389,1962,0,5355,6694,False,False,False,True,False
390,635,13099,True,False,True,True,False,True,True,False,False,1388,1962,0,5359,6694,False,False,False,True,False
396,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,0,5359,6742,False,False,False,True,False
402,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,1,5331,6742,False,False,False,True,False
408,635,13100,True,False,True,True,False,True,True,False,False,1387,1962,1,5331,6739,False,False,False,True,False
413,635,13099,True,False,True,True,False,True,True,False,False,1387,1962,0,5350,6734,False,False,False,True,False
419,635,13099,True,False,True,True,False,True,True,False,False,1389,1961,1,5350,6734,False,False,False,True,False
425,635,13099,True,False,True,True,False,True,True,False,False,1389,1961,1,5358,6748,False,False,False,True,False
431,635,13099,True,False,True,True,False,True,True,False,False,1389,1962,1,5379,6748,False,False,False,True,False
437,635,13098,True,False,True,True,False,True,True,False,False,1389,1962,1,5379,6685,False,False,False,True,False
443,635,13098,True,False,True,True,False,True,True,False,False,1388,1963,1,5375,6685,False,False,False,True,False
449,635,13098,True,False,True,True,False,True,True,False,False,1389,1962,1,5375,6718,False,False,False,True,False
454,635,13100,True,False,True,True,False,True,True,False,False,1389,1962,1,5321,6730,False,False,False,True,False
460,635,13100,True,False,True,True,False,True,True,False,False,1388,1962,1,5321,6730,False,False,False,True,False
466,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,1,5336,6755,False,False,False,True,False
472,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,0,5336,6755,False,False,False,True,False
479,635,13100,True,False,True,True,False,True,True,False,False,1390,1962,0,5346,6749,False,False,False,True,False
486,635,13100,True,False,True,True,False,True,True,False,False,1390,1962,1,5346,6749,False,False,False,True,False
492,635,13098,True,False,True,True,False,True,True,False,False,1389,1961,1,5354,6676,False,False,False,True,False
498,635,13100,True,False,True,True,False,True,True,False,False,1389,1961,1,5366,6676,False,False,False,True,False
498,635,13174,True,False,True,True,False,True,True,False,False,1399,1929,1,5315,6723,False,False,False,True,False
503,635,13100,True,False,True,True,False,True,True,False,False,1388,1961,1,5366,6712,False,False,False,True,False
503,635,13174,True,False,True,True,False,True,True,False,False,1403,1929,1,5339,6749,False,False,False,True,False
509,635,13099,True,False,True,True,False,True,True,False,False,1388,1961,1,5341,6712,False,False,False,True,False
509,635,13099,True,False,True,True,False,True,True,False,False,1399,1930,1,5353,6752,False,False,False,True,False
515,635,13099,True,False,True,True,False,True,True,False,False,1389,1961,1,5341,6726,False,False,False,True,False
515,635,13099,True,False,True,True,False,True,True,False,False,1398,1930,1,5355,6763,False,False,False,True,False
521,635,13098,True,False,True,True,False,True,True,False,False,1388,1961,1,5349,6742,False,False,False,True,False
521,635,13098,True,False,True,True,False,True,True,False,False,1399,1930,1,5361,6688,False,False,False,True,False
527,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,2,5349,6742,False,False,False,True,False
527,635,13098,True,False,True,True,False,True,True,False,False,1400,1931,1,5314,6701,False,False,False,True,False
533,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,2,5344,6753,False,False,False,True,False
533,635,13098,True,False,True,True,False,True,True,False,False,1399,1930,1,5352,6713,False,False,False,True,False
538,635,13098,True,False,True,True,False,True,True,False,False,1388,1962,0,5362,6753,False,False,False,True,False
538,635,13098,True,False,True,True,False,True,True,False,False,1399,1930,1,5355,6713,False,False,False,True,False
544,635,13098,True,False,True,True,False,True,True,False,False,1431,1962,0,5362,6678,False,False,False,True,False
544,635,13098,True,False,True,True,False,True,True,False,False,1399,1931,1,5355,6726,False,False,False,True,False
550,636,13098,True,False,True,True,False,True,True,False,False,1431,1962,0,5390,6678,False,False,False,True,False
550,636,13098,True,False,True,True,False,True,True,False,False,1405,1931,1,5379,6745,False,False,False,True,False
556,635,13100,True,False,True,True,False,True,True,False,False,1433,1962,1,5390,6706,False,False,False,True,False
556,635,13100,True,False,True,True,False,True,True,False,False,1405,1930,1,5379,6745,False,False,False,True,False
562,635,13100,True,False,True,True,False,True,True,False,False,1433,1962,1,5362,6706,False,False,False,True,False
562,635,13100,True,False,True,True,False,True,True,False,False,1405,1930,1,5380,6745,False,False,False,True,False
567,635,13100,True,False,True,True,False,True,True,False,False,1431,1961,1,5362,6716,False,False,False,True,False
567,635,13100,True,False,True,True,False,True,True,False,False,1400,1930,1,5327,6676,False,False,False,True,False
573,635,13098,True,False,True,True,False,True,True,False,False,1432,1961,1,5375,6730,False,False,False,True,False
573,635,13098,True,False,True,True,False,True,True,False,False,1399,1930,1,5327,6694,False,False,False,True,False
580,635,13098,True,False,True,True,False,True,True,False,False,1432,1961,1,5375,6730,False,False,False,True,False
580,635,13098,True,False,True,True,False,True,True,False,False,1399,1930,1,5327,6694,False,False,False,True,False
586,635,13100,True,False,True,True,False,True,True,False,False,1432,1961,1,5374,6741,False,False,False,True,False
586,635,13100,True,False,True,True,False,True,True,False,False,1398,1931,1,5345,6703,False,False,False,True,False
592,635,13099,True,False,True,True,False,True,True,False,False,1432,1961,1,5374,6741,False,False,False,True,False
592,635,13099,True,False,True,True,False,True,True,False,False,1399,1931,1,5354,6747,False,False,False,True,False
597,635,13099,True,False,True,True,False,True,True,False,False,1430,1962,1,5362,6672,False,False,False,True,False
597,635,13099,True,False,True,True,False,True,True,False,False,1399,1931,1,5358,6747,False,False,False,True,False
603,635,13097,True,False,True,True,False,True,True,False,False,1430,1962,1,5362,6672,False,False,False,True,False
