Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
0,634,13161,True,False,True,True,False,True,False,False,False,1399,1887,0,5355,6728,False,False,False,True,False
6,631,13162,True,False,True,True,False,True,False,False,False,1399,1887,0,5318,6731,False,False,False,True,False
12,631,13164,True,False,True,True,False,True,False,False,False,1400,1886,2,5370,6762,False,False,False,True,False
18,631,13162,True,False,True,True,False,True,False,False,False,1400,1886,1,5370,6762,False,False,False,True,False
23,631,13162,True,False,True,True,False,True,False,False,False,1401,1887,0,5366,6775,False,False,False,True,False
29,631,13162,True,False,True,True,False,True,False,False,False,1399,1887,0,5366,6775,False,False,False,True,False
36,631,13153,True,False,True,True,False,True,False,False,False,1399,1887,0,5374,6715,False,False,False,True,False
42,631,13151,True,False,True,True,False,True,False,False,False,1400,1886,0,5346,6748,False,False,False,True,False
49,631,13152,True,False,True,True,False,True,False,False,False,1398,1887,1,5351,6746,False,False,False,True,False
55,631,13152,True,False,True,True,False,True,False,False,False,1397,1887,1,5346,6739,False,False,False,True,False
60,631,13147,True,False,True,True,False,True,False,False,False,1399,1886,0,5348,6758,False,False,False,True,False
66,631,13147,True,False,True,True,False,True,False,False,False,1400,1886,0,5348,6758,False,False,False,True,False
72,631,13151,True,False,True,True,False,True,False,False,False,1400,1887,1,5381,6729,False,False,False,True,False
78,631,13150,True,False,True,True,False,True,False,False,False,1398,1886,1,5335,6745,False,False,False,True,False
84,631,13150,True,False,True,True,False,True,False,False,False,1398,1886,1,5351,6735,False,False,False,True,False
90,631,13152,True,False,True,True,False,True,False,False,False,1400,1887,1,5367,6751,False,False,False,True,False
96,632,13152,True,False,True,True,False,True,False,False,False,1397,1887,1,5358,6762,False,False,False,True,False
101,631,13153,True,False,True,True,False,True,False,False,False,1397,1887,1,5358,6708,False,False,False,True,False
107,632,13151,True,False,True,True,False,True,False,False,False,1400,1887,1,5323,6763,False,False,False,True,False
113,632,13151,True,False,True,True,False,True,False,False,False,1400,1887,1,5323,6763,False,False,False,True,False
119,632,13151,True,False,True,True,False,True,False,False,False,1400,1887,1,5360,6743,False,False,False,True,False
125,632,13152,True,False,True,True,False,True,False,False,False,1400,1887,1,5360,6743,False,False,False,True,False
131,632,13152,True,False,True,True,False,True,False,False,False,1367,1887,1,5357,6746,False,False,False,True,False
