Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
37453307,600,12984,True,False,True,False,False,True,False,False,False,1237,1863,1,5941,7260,True,False,False,True,False
37453312,605,12987,True,False,True,False,False,True,False,False,False,1237,1863,1,5887,7305,True,False,False,True,False
37453318,605,12845,True,False,True,False,False,True,False,False,False,1235,1863,1,5913,7232,True,False,False,True,False
37453324,605,12845,True,False,True,False,False,True,False,False,False,1238,1863,0,5902,7282,True,False,False,True,False
37453330,605,12846,True,False,True,False,False,True,False,False,False,1236,1862,1,5920,7261,True,False,False,True,False
37453336,605,12847,True,False,True,False,False,True,False,False,False,1237,1863,0,5906,7268,True,False,False,True,False
37453342,605,12847,True,False,True,False,False,True,False,False,False,1237,1863,1,5913,7268,True,False,False,True,False
37453349,605,12851,True,False,True,False,False,True,False,False,False,1237,1864,0,5904,7241,True,False,False,True,False
37453355,605,12851,True,False,True,False,False,True,False,False,False,1237,1864,1,5934,7241,True,False,False,True,False
37453361,605,12847,True,False,True,False,False,True,False,False,False,1237,1863,0,5946,7236,True,False,False,True,False
37453367,605,12847,True,False,True,False,False,True,False,False,False,1236,1863,0,5889,7276,True,False,False,True,False
37453373,605,12849,True,False,True,False,False,True,False,False,False,1236,1864,1,5896,7205,True,False,False,True,False
37453378,605,12849,True,False,True,False,False,True,False,False,False,1204,1864,0,5901,7205,True,False,False,True,False
37453384,605,12846,True,False,True,False,False,True,False,False,False,1204,1799,0,5941,7251,True,False,False,True,False
37453390,605,12847,True,False,True,False,False,True,False,False,False,1205,1799,0,5942,7243,True,False,False,True,False
37453395,605,12847,True,False,True,False,False,True,False,False,False,1205,1800,0,5869,7263,True,False,False,True,False
