Timestamp,Drucksensor,Gesamtstrom,Ansteuerung Förderband,Ansteuerung Drehtisch,Ansteuerung Zuführförderband,Obere Position Greifer Erreicht,Untere Position Greifer Erreicht,Boolwert ob die Position des Separators für Flüssigkeiten geschlossen ist,Boolwert ob die Position des Separators für Feststoffen geschlossen ist,Boolwert zur Ansteuerung des Separators für Flüssigkeiten,Boolwert zur Ansteuerung des Separators für Feststoffe,Integerwert für den Motorstrom am Transportförderband,Integerwert für den Motorstrom am Zuführförderband,Integerwert für den Motorstrom am Drehtisch,Integerwert für die Raumtemperatur,Integerwert für die Temperatur am Motorgehäuse des Transportförderbands,Boolwert zur Ansteuerung des Flaschenfixierers,Boolwert zur Ansteuerung des der Greiferbacken,Boolwert zur Einleitung der Greifer-Verfahrbewegung nach unten,Boolwert zur Einleitung der Greiferdrehung auf 0°,Boolwert zur Einleitung der Greiferdrehung auf 270°
36058340,627,11769,False,True,True,True,False,True,True,False,False,0,2315,1,5848,7064,False,False,False,False,False
36058347,626,11803,False,True,True,True,False,True,True,False,False,0,2314,1,5831,7139,False,False,False,False,False
36058353,626,11802,False,True,True,True,False,True,True,False,False,0,2314,1,5826,7147,False,False,False,False,False
36058359,626,11802,False,True,True,True,False,True,True,False,False,0,2314,1,5842,7120,False,False,False,False,False
36058364,626,11799,False,True,True,True,False,True,True,False,False,0,2314,1,5847,7125,False,False,False,False,False
36058370,626,11799,False,True,True,True,False,True,True,False,False,0,2314,1,5809,7095,False,False,False,False,False
36058376,626,11800,False,True,True,True,False,True,True,False,False,1,2314,1,5845,7114,False,False,False,False,False
36058381,626,11800,False,True,True,True,False,True,True,False,False,0,2314,2,5830,7117,False,False,False,False,False
36058387,626,11802,False,True,True,True,False,True,True,False,False,0,2314,1,5829,7117,False,False,False,False,False
36058393,626,11801,False,True,True,True,False,True,True,False,False,0,2314,0,5847,7048,False,False,False,False,False
36058399,626,11801,False,True,True,True,False,True,True,False,False,0,2314,0,5804,7104,False,False,False,False,False
36058404,626,11801,False,True,True,True,False,True,True,False,False,0,2281,1,5812,7111,False,False,False,False,False
36058410,626,11801,False,True,True,True,False,True,True,False,False,0,2270,1,5818,7101,False,False,False,False,False
36058416,626,11800,False,True,True,True,False,True,True,False,False,0,2272,470,5882,7105,False,False,False,False,False
36058421,626,11800,False,True,True,True,False,True,True,False,False,0,2229,465,5826,7075,False,False,False,False,False
36058427,626,11801,False,True,True,True,False,True,True,False,False,0,2229,465,5826,7070,False,False,False,False,False
36058433,626,11801,False,True,True,True,False,True,True,False,False,0,2228,467,5842,7088,False,False,False,False,False
36058439,626,11801,False,True,True,True,False,True,True,False,False,0,2228,467,5839,7088,False,False,False,False,False
36058446,626,11801,False,True,True,True,False,True,True,False,False,0,2228,469,5839,7096,False,False,False,False,False
36058452,626,11801,False,True,True,True,False,True,True,False,False,0,2229,466,5837,7138,False,False,False,False,False
36058458,626,11802,False,True,True,True,False,True,True,False,False,0,2229,466,5792,7138,False,False,False,False,False
36058464,626,11802,False,True,True,True,False,True,True,False,False,0,2228,466,5792,7138,False,False,False,False,False
36058469,626,11801,False,True,True,True,False,True,True,False,False,0,2229,466,5824,7138,False,False,False,False,False
36058475,626,11801,False,True,True,True,False,True,True,False,False,0,2229,469,5824,7076,False,False,False,False,False
36058482,626,11800,False,True,True,True,False,True,True,False,False,0,2229,469,5824,7076,False,False,False,False,False
36058487,626,11800,False,True,True,True,False,True,True,False,False,0,2228,469,5829,7105,False,False,False,False,False
36058493,626,11802,False,True,True,True,False,True,True,False,False,0,2229,469,5847,7105,False,False,False,False,False
36058499,626,11801,False,True,True,True,False,True,True,False,False,0,2229,470,5847,7105,False,False,False,False,False
36058504,626,11801,False,True,True,True,False,True,True,False,False,0,2229,470,5847,7105,False,False,False,False,False
36058510,626,11800,False,True,True,True,False,True,True,False,False,0,2228,470,5842,7101,False,False,False,False,False
36058516,626,11800,False,True,True,True,False,True,True,False,False,0,2227,470,5807,7101,False,False,False,False,False
36058521,626,11802,False,True,True,True,False,True,True,False,False,0,2227,470,5807,7112,False,False,False,False,False
36058527,626,11801,False,True,True,True,False,True,True,False,False,0,2229,470,5839,7085,False,False,False,False,False
36058533,626,11801,False,True,True,True,False,True,True,False,False,0,2229,470,5839,7085,False,False,False,False,False
36058539,626,11801,False,True,True,True,False,True,True,False,False,0,2228,471,5826,7107,False,False,False,False,False
36058546,626,11801,False,True,True,True,False,True,True,False,False,1,2228,471,5826,7107,False,False,False,False,False
36058552,626,11801,False,True,True,True,False,True,True,False,False,1,2228,469,5827,7097,False,False,False,False,False
36058557,626,11801,False,True,True,True,False,True,True,False,False,0,2228,469,5827,7097,False,False,False,False,False
